year,age,population_group,educational_attainment_4_groups,population
1996,111,Black African,No schooling/less than primary,18
1996,111,Black African,Primary,0
1996,111,Black African,Secondary,0
1996,111,Black African,Higher,0
1996,111,Coloured,No schooling/less than primary,0
1996,111,Coloured,Primary,0
1996,111,Coloured,Secondary,0
1996,111,Coloured,Higher,1
1996,111,Indian or Asian,No schooling/less than primary,0
1996,111,Indian or Asian,Primary,0
1996,111,Indian or Asian,Secondary,0
1996,111,Indian or Asian,Higher,0
1996,111,White,No schooling/less than primary,1
1996,111,White,Primary,0
1996,111,White,Secondary,0
1996,111,White,Higher,0
1996,112,Black African,No schooling/less than primary,21
1996,112,Black African,Primary,0
1996,112,Black African,Secondary,0
1996,112,Black African,Higher,0
1996,112,Coloured,No schooling/less than primary,0
1996,112,Coloured,Primary,0
1996,112,Coloured,Secondary,0
1996,112,Coloured,Higher,0
1996,112,Indian or Asian,No schooling/less than primary,1
1996,112,Indian or Asian,Primary,0
1996,112,Indian or Asian,Secondary,0
1996,112,Indian or Asian,Higher,0
1996,112,White,No schooling/less than primary,0
1996,112,White,Primary,0
1996,112,White,Secondary,0
1996,112,White,Higher,0
1996,113,Black African,No schooling/less than primary,3
1996,113,Black African,Primary,0
1996,113,Black African,Secondary,0
1996,113,Black African,Higher,0
1996,113,Coloured,No schooling/less than primary,0
1996,113,Coloured,Primary,0
1996,113,Coloured,Secondary,0
1996,113,Coloured,Higher,0
1996,113,Indian or Asian,No schooling/less than primary,0
1996,113,Indian or Asian,Primary,0
1996,113,Indian or Asian,Secondary,0
1996,113,Indian or Asian,Higher,0
1996,113,White,No schooling/less than primary,0
1996,113,White,Primary,0
1996,113,White,Secondary,0
1996,113,White,Higher,0
1996,114,Black African,No schooling/less than primary,12
1996,114,Black African,Primary,0
1996,114,Black African,Secondary,0
1996,114,Black African,Higher,1
1996,114,Coloured,No schooling/less than primary,0
1996,114,Coloured,Primary,0
1996,114,Coloured,Secondary,0
1996,114,Coloured,Higher,0
1996,114,Indian or Asian,No schooling/less than primary,0
1996,114,Indian or Asian,Primary,0
1996,114,Indian or Asian,Secondary,0
1996,114,Indian or Asian,Higher,0
1996,114,White,No schooling/less than primary,0
1996,114,White,Primary,0
1996,114,White,Secondary,0
1996,114,White,Higher,0
1996,115,Black African,No schooling/less than primary,12
1996,115,Black African,Primary,0
1996,115,Black African,Secondary,0
1996,115,Black African,Higher,0
1996,115,Coloured,No schooling/less than primary,1
1996,115,Coloured,Primary,0
1996,115,Coloured,Secondary,0
1996,115,Coloured,Higher,0
1996,115,Indian or Asian,No schooling/less than primary,0
1996,115,Indian or Asian,Primary,0
1996,115,Indian or Asian,Secondary,0
1996,115,Indian or Asian,Higher,0
1996,115,White,No schooling/less than primary,0
1996,115,White,Primary,0
1996,115,White,Secondary,0
1996,115,White,Higher,0
1996,116,Black African,No schooling/less than primary,29
1996,116,Black African,Primary,3
1996,116,Black African,Secondary,0
1996,116,Black African,Higher,2
1996,116,Coloured,No schooling/less than primary,1
1996,116,Coloured,Primary,0
1996,116,Coloured,Secondary,0
1996,116,Coloured,Higher,0
1996,116,Indian or Asian,No schooling/less than primary,1
1996,116,Indian or Asian,Primary,0
1996,116,Indian or Asian,Secondary,0
1996,116,Indian or Asian,Higher,0
1996,116,White,No schooling/less than primary,0
1996,116,White,Primary,1
1996,116,White,Secondary,2
1996,116,White,Higher,0
1996,Unspecified,Black African,No schooling/less than primary,162263
1996,Unspecified,Black African,Primary,66039
1996,Unspecified,Black African,Secondary,15779
1996,Unspecified,Black African,Higher,5146
1996,Unspecified,Coloured,No schooling/less than primary,9420
1996,Unspecified,Coloured,Primary,6910
1996,Unspecified,Coloured,Secondary,1743
1996,Unspecified,Coloured,Higher,649
1996,Unspecified,Indian or Asian,No schooling/less than primary,1448
1996,Unspecified,Indian or Asian,Primary,1699
1996,Unspecified,Indian or Asian,Secondary,1302
1996,Unspecified,Indian or Asian,Higher,419
1996,Unspecified,White,No schooling/less than primary,5359
1996,Unspecified,White,Primary,9372
1996,Unspecified,White,Secondary,11429
1996,Unspecified,White,Higher,5658
2001,0,Black African,No schooling/less than primary,0
2001,0,Black African,Primary,0
2001,0,Black African,Secondary,0
2001,0,Black African,Higher,0
2001,0,Black African,Under 5,766978
2001,0,Coloured,No schooling/less than primary,0
2001,0,Coloured,Primary,0
2001,0,Coloured,Secondary,0
2001,0,Coloured,Higher,0
2001,0,Coloured,Under 5,80889
2001,0,Indian or Asian,No schooling/less than primary,0
2001,0,Indian or Asian,Primary,0
2001,0,Indian or Asian,Secondary,0
2001,0,Indian or Asian,Higher,0
2001,0,Indian or Asian,Under 5,14739
2001,0,White,No schooling/less than primary,0
2001,0,White,Primary,0
2001,0,White,Secondary,0
2001,0,White,Higher,0
2001,0,White,Under 5,45800
2001,1,Black African,No schooling/less than primary,0
2001,1,Black African,Primary,0
2001,1,Black African,Secondary,0
2001,1,Black African,Higher,0
2001,1,Black African,Under 5,732234
2001,1,Coloured,No schooling/less than primary,0
2001,1,Coloured,Primary,0
2001,1,Coloured,Secondary,0
2001,1,Coloured,Higher,0
2001,1,Coloured,Under 5,78640
2001,1,Indian or Asian,No schooling/less than primary,0
2001,1,Indian or Asian,Primary,0
2001,1,Indian or Asian,Secondary,0
2001,1,Indian or Asian,Higher,0
2001,1,Indian or Asian,Under 5,14640
2001,1,White,No schooling/less than primary,0
2001,1,White,Primary,0
2001,1,White,Secondary,0
2001,1,White,Higher,0
2001,1,White,Under 5,45125
2001,2,Black African,No schooling/less than primary,0
2001,2,Black African,Primary,0
2001,2,Black African,Secondary,0
2001,2,Black African,Higher,0
2001,2,Black African,Under 5,739107
2001,2,Coloured,No schooling/less than primary,0
2001,2,Coloured,Primary,0
2001,2,Coloured,Secondary,0
2001,2,Coloured,Higher,0
2001,2,Coloured,Under 5,77822
2001,2,Indian or Asian,No schooling/less than primary,0
2001,2,Indian or Asian,Primary,0
2001,2,Indian or Asian,Secondary,0
2001,2,Indian or Asian,Higher,0
2001,2,Indian or Asian,Under 5,14647
2001,2,White,No schooling/less than primary,0
2001,2,White,Primary,0
2001,2,White,Secondary,0
2001,2,White,Higher,0
2001,2,White,Under 5,45832
2001,3,Black African,No schooling/less than primary,0
2001,3,Black African,Primary,0
2001,3,Black African,Secondary,0
2001,3,Black African,Higher,0
2001,3,Black African,Under 5,739370
2001,3,Coloured,No schooling/less than primary,0
2001,3,Coloured,Primary,0
2001,3,Coloured,Secondary,0
2001,3,Coloured,Higher,0
2001,3,Coloured,Under 5,75618
2001,3,Indian or Asian,No schooling/less than primary,0
2001,3,Indian or Asian,Primary,0
2001,3,Indian or Asian,Secondary,0
2001,3,Indian or Asian,Higher,0
2001,3,Indian or Asian,Under 5,14933
2001,3,White,No schooling/less than primary,0
2001,3,White,Primary,0
2001,3,White,Secondary,0
2001,3,White,Higher,0
2001,3,White,Under 5,45490
2001,4,Black African,No schooling/less than primary,0
2001,4,Black African,Primary,0
2001,4,Black African,Secondary,0
2001,4,Black African,Higher,0
2001,4,Black African,Under 5,774505
2001,4,Coloured,No schooling/less than primary,0
2001,4,Coloured,Primary,0
2001,4,Coloured,Secondary,0
2001,4,Coloured,Higher,0
2001,4,Coloured,Under 5,79919
2001,4,Indian or Asian,No schooling/less than primary,0
2001,4,Indian or Asian,Primary,0
2001,4,Indian or Asian,Secondary,0
2001,4,Indian or Asian,Higher,0
2001,4,Indian or Asian,Under 5,15650
2001,4,White,No schooling/less than primary,0
2001,4,White,Primary,0
2001,4,White,Secondary,0
2001,4,White,Higher,0
2001,4,White,Under 5,47877
2001,5,Black African,No schooling/less than primary,815555
2001,5,Black African,Primary,0
2001,5,Black African,Secondary,0
2001,5,Black African,Higher,0
2001,5,Coloured,No schooling/less than primary,82320
2001,5,Coloured,Primary,0
2001,5,Coloured,Secondary,0
2001,5,Coloured,Higher,0
2001,5,Indian or Asian,No schooling/less than primary,17502
2001,5,Indian or Asian,Primary,0
2001,5,Indian or Asian,Secondary,0
2001,5,Indian or Asian,Higher,0
2001,5,White,No schooling/less than primary,53018
2001,5,White,Primary,0
2001,5,White,Secondary,0
2001,5,White,Higher,0
2001,6,Black African,No schooling/less than primary,799549
2001,6,Black African,Primary,0
2001,6,Black African,Secondary,0
2001,6,Black African,Higher,0
2001,6,Coloured,No schooling/less than primary,80783
2001,6,Coloured,Primary,0
2001,6,Coloured,Secondary,0
2001,6,Coloured,Higher,0
2001,6,Indian or Asian,No schooling/less than primary,17337
2001,6,Indian or Asian,Primary,0
2001,6,Indian or Asian,Secondary,0
2001,6,Indian or Asian,Higher,0
2001,6,White,No schooling/less than primary,52926
2001,6,White,Primary,0
2001,6,White,Secondary,0
2001,6,White,Higher,0
2001,7,Black African,No schooling/less than primary,823421
2001,7,Black African,Primary,0
2001,7,Black African,Secondary,0
2001,7,Black African,Higher,0
2001,7,Coloured,No schooling/less than primary,81737
2001,7,Coloured,Primary,0
2001,7,Coloured,Secondary,0
2001,7,Coloured,Higher,0
2001,7,Indian or Asian,No schooling/less than primary,17375
2001,7,Indian or Asian,Primary,0
2001,7,Indian or Asian,Secondary,0
2001,7,Indian or Asian,Higher,0
2001,7,White,No schooling/less than primary,51658
2001,7,White,Primary,0
2001,7,White,Secondary,0
2001,7,White,Higher,0
2001,8,Black African,No schooling/less than primary,795776
2001,8,Black African,Primary,0
2001,8,Black African,Secondary,0
2001,8,Black African,Higher,0
2001,8,Coloured,No schooling/less than primary,80819
2001,8,Coloured,Primary,0
2001,8,Coloured,Secondary,0
2001,8,Coloured,Higher,0
2001,8,Indian or Asian,No schooling/less than primary,17386
2001,8,Indian or Asian,Primary,0
2001,8,Indian or Asian,Secondary,0
2001,8,Indian or Asian,Higher,0
2001,8,White,No schooling/less than primary,53487
2001,8,White,Primary,0
2001,8,White,Secondary,0
2001,8,White,Higher,0
2001,9,Black African,No schooling/less than primary,850862
2001,9,Black African,Primary,0
2001,9,Black African,Secondary,0
2001,9,Black African,Higher,0
2001,9,Coloured,No schooling/less than primary,84713
2001,9,Coloured,Primary,0
2001,9,Coloured,Secondary,0
2001,9,Coloured,Higher,0
2001,9,Indian or Asian,No schooling/less than primary,18913
2001,9,Indian or Asian,Primary,0
2001,9,Indian or Asian,Secondary,0
2001,9,Indian or Asian,Higher,0
2001,9,White,No schooling/less than primary,58416
2001,9,White,Primary,0
2001,9,White,Secondary,0
2001,9,White,Higher,0
2001,10,Black African,No schooling/less than primary,887389
2001,10,Black African,Primary,0
2001,10,Black African,Secondary,0
2001,10,Black African,Higher,0
2001,10,Coloured,No schooling/less than primary,89575
2001,10,Coloured,Primary,0
2001,10,Coloured,Secondary,0
2001,10,Coloured,Higher,0
2001,10,Indian or Asian,No schooling/less than primary,19900
2001,10,Indian or Asian,Primary,0
2001,10,Indian or Asian,Secondary,0
2001,10,Indian or Asian,Higher,0
2001,10,White,No schooling/less than primary,62305
2001,10,White,Primary,0
2001,10,White,Secondary,0
2001,10,White,Higher,0
2001,11,Black African,No schooling/less than primary,853413
2001,11,Black African,Primary,18429
2001,11,Black African,Secondary,0
2001,11,Black African,Higher,0
2001,11,Coloured,No schooling/less than primary,87459
2001,11,Coloured,Primary,1687
2001,11,Coloured,Secondary,0
2001,11,Coloured,Higher,0
2001,11,Indian or Asian,No schooling/less than primary,19429
2001,11,Indian or Asian,Primary,637
2001,11,Indian or Asian,Secondary,0
2001,11,Indian or Asian,Higher,0
2001,11,White,No schooling/less than primary,61831
2001,11,White,Primary,1615
2001,11,White,Secondary,0
2001,11,White,Higher,0
2001,12,Black African,No schooling/less than primary,724915
2001,12,Black African,Primary,98221
2001,12,Black African,Secondary,0
2001,12,Black African,Higher,0
2001,12,Coloured,No schooling/less than primary,70868
2001,12,Coloured,Primary,13598
2001,12,Coloured,Secondary,0
2001,12,Coloured,Higher,0
2001,12,Indian or Asian,No schooling/less than primary,13254
2001,12,Indian or Asian,Primary,6564
2001,12,Indian or Asian,Secondary,0
2001,12,Indian or Asian,Higher,0
2001,12,White,No schooling/less than primary,53526
2001,12,White,Primary,9045
2001,12,White,Secondary,0
2001,12,White,Higher,0
2001,13,Black African,No schooling/less than primary,571977
2001,13,Black African,Primary,254134
2001,13,Black African,Secondary,0
2001,13,Black African,Higher,0
2001,13,Coloured,No schooling/less than primary,44399
2001,13,Coloured,Primary,38009
2001,13,Coloured,Secondary,0
2001,13,Coloured,Higher,0
2001,13,Indian or Asian,No schooling/less than primary,3509
2001,13,Indian or Asian,Primary,16086
2001,13,Indian or Asian,Secondary,0
2001,13,Indian or Asian,Higher,0
2001,13,White,No schooling/less than primary,29148
2001,13,White,Primary,34151
2001,13,White,Secondary,0
2001,13,White,Higher,0
2001,14,Black African,No schooling/less than primary,394144
2001,14,Black African,Primary,415972
2001,14,Black African,Secondary,0
2001,14,Black African,Higher,0
2001,14,Coloured,No schooling/less than primary,22874
2001,14,Coloured,Primary,58808
2001,14,Coloured,Secondary,0
2001,14,Coloured,Higher,0
2001,14,Indian or Asian,No schooling/less than primary,1704
2001,14,Indian or Asian,Primary,18220
2001,14,Indian or Asian,Secondary,0
2001,14,Indian or Asian,Higher,0
2001,14,White,No schooling/less than primary,7999
2001,14,White,Primary,57125
2001,14,White,Secondary,0
2001,14,White,Higher,0
2001,15,Black African,No schooling/less than primary,281893
2001,15,Black African,Primary,552584
2001,15,Black African,Secondary,0
2001,15,Black African,Higher,0
2001,15,Coloured,No schooling/less than primary,13967
2001,15,Coloured,Primary,69878
2001,15,Coloured,Secondary,0
2001,15,Coloured,Higher,0
2001,15,Indian or Asian,No schooling/less than primary,928
2001,15,Indian or Asian,Primary,20419
2001,15,Indian or Asian,Secondary,0
2001,15,Indian or Asian,Higher,0
2001,15,White,No schooling/less than primary,3841
2001,15,White,Primary,64292
2001,15,White,Secondary,0
2001,15,White,Higher,0
2001,16,Black African,No schooling/less than primary,202410
2001,16,Black African,Primary,633151
2001,16,Black African,Secondary,8502
2001,16,Black African,Higher,704
2001,16,Coloured,No schooling/less than primary,10416
2001,16,Coloured,Primary,75684
2001,16,Coloured,Secondary,829
2001,16,Coloured,Higher,82
2001,16,Indian or Asian,No schooling/less than primary,625
2001,16,Indian or Asian,Primary,21090
2001,16,Indian or Asian,Secondary,522
2001,16,Indian or Asian,Higher,71
2001,16,White,No schooling/less than primary,2160
2001,16,White,Primary,69424
2001,16,White,Secondary,1826
2001,16,White,Higher,260
2001,17,Black African,No schooling/less than primary,146670
2001,17,Black African,Primary,621952
2001,17,Black African,Secondary,32615
2001,17,Black African,Higher,1574
2001,17,Coloured,No schooling/less than primary,8898
2001,17,Coloured,Primary,69449
2001,17,Coloured,Secondary,5831
2001,17,Coloured,Higher,130
2001,17,Indian or Asian,No schooling/less than primary,537
2001,17,Indian or Asian,Primary,18009
2001,17,Indian or Asian,Secondary,3733
2001,17,Indian or Asian,Higher,149
2001,17,White,No schooling/less than primary,1554
2001,17,White,Primary,63202
2001,17,White,Secondary,7281
2001,17,White,Higher,449
2001,18,Black African,No schooling/less than primary,131018
2001,18,Black African,Primary,590207
2001,18,Black African,Secondary,83710
2001,18,Black African,Higher,6161
2001,18,Coloured,No schooling/less than primary,8529
2001,18,Coloured,Primary,57353
2001,18,Coloured,Secondary,18252
2001,18,Coloured,Higher,911
2001,18,Indian or Asian,No schooling/less than primary,520
2001,18,Indian or Asian,Primary,9310
2001,18,Indian or Asian,Secondary,11327
2001,18,Indian or Asian,Higher,1034
2001,18,White,No schooling/less than primary,1379
2001,18,White,Primary,42378
2001,18,White,Secondary,26712
2001,18,White,Higher,2255
2001,19,Black African,No schooling/less than primary,124663
2001,19,Black African,Primary,528274
2001,19,Black African,Secondary,136978
2001,19,Black African,Higher,13195
2001,19,Coloured,No schooling/less than primary,7832
2001,19,Coloured,Primary,45179
2001,19,Coloured,Secondary,26245
2001,19,Coloured,Higher,1880
2001,19,Indian or Asian,No schooling/less than primary,557
2001,19,Indian or Asian,Primary,5342
2001,19,Indian or Asian,Secondary,14011
2001,19,Indian or Asian,Higher,2127
2001,19,White,No schooling/less than primary,1187
2001,19,White,Primary,16849
2001,19,White,Secondary,42615
2001,19,White,Higher,6139
2001,20,Black African,No schooling/less than primary,119847
2001,20,Black African,Primary,432224
2001,20,Black African,Secondary,176149
2001,20,Black African,Higher,20853
2001,20,Coloured,No schooling/less than primary,8252
2001,20,Coloured,Primary,39038
2001,20,Coloured,Secondary,28293
2001,20,Coloured,Higher,2716
2001,20,Indian or Asian,No schooling/less than primary,600
2001,20,Indian or Asian,Primary,4470
2001,20,Indian or Asian,Secondary,13905
2001,20,Indian or Asian,Higher,2556
2001,20,White,No schooling/less than primary,1376
2001,20,White,Primary,13027
2001,20,White,Secondary,41038
2001,20,White,Higher,9366
2001,21,Black African,No schooling/less than primary,130934
2001,21,Black African,Primary,402766
2001,21,Black African,Secondary,204527
2001,21,Black African,Higher,28150
2001,21,Coloured,No schooling/less than primary,8495
2001,21,Coloured,Primary,36321
2001,21,Coloured,Secondary,28101
2001,21,Coloured,Higher,3217
2001,21,Indian or Asian,No schooling/less than primary,601
2001,21,Indian or Asian,Primary,4029
2001,21,Indian or Asian,Secondary,13423
2001,21,Indian or Asian,Higher,3289
2001,21,White,No schooling/less than primary,1419
2001,21,White,Primary,11314
2001,21,White,Secondary,37544
2001,21,White,Higher,12291
2001,22,Black African,No schooling/less than primary,117762
2001,22,Black African,Primary,340858
2001,22,Black African,Secondary,211097
2001,22,Black African,Higher,33585
2001,22,Coloured,No schooling/less than primary,7597
2001,22,Coloured,Primary,31630
2001,22,Coloured,Secondary,26017
2001,22,Coloured,Higher,3411
2001,22,Indian or Asian,No schooling/less than primary,493
2001,22,Indian or Asian,Primary,3618
2001,22,Indian or Asian,Secondary,12370
2001,22,Indian or Asian,Higher,3737
2001,22,White,No schooling/less than primary,827
2001,22,White,Primary,9310
2001,22,White,Secondary,30925
2001,22,White,Higher,14883
2001,23,Black African,No schooling/less than primary,114020
2001,23,Black African,Primary,294057
2001,23,Black African,Secondary,207124
2001,23,Black African,Higher,37907
2001,23,Coloured,No schooling/less than primary,7888
2001,23,Coloured,Primary,29841
2001,23,Coloured,Secondary,25033
2001,23,Coloured,Higher,3558
2001,23,Indian or Asian,No schooling/less than primary,449
2001,23,Indian or Asian,Primary,3413
2001,23,Indian or Asian,Secondary,11351
2001,23,Indian or Asian,Higher,4121
2001,23,White,No schooling/less than primary,778
2001,23,White,Primary,8938
2001,23,White,Secondary,28099
2001,23,White,Higher,16634
2001,24,Black African,No schooling/less than primary,127180
2001,24,Black African,Primary,290741
2001,24,Black African,Secondary,212825
2001,24,Black African,Higher,41990
2001,24,Coloured,No schooling/less than primary,8093
2001,24,Coloured,Primary,29095
2001,24,Coloured,Secondary,23282
2001,24,Coloured,Higher,3783
2001,24,Indian or Asian,No schooling/less than primary,470
2001,24,Indian or Asian,Primary,3769
2001,24,Indian or Asian,Secondary,10958
2001,24,Indian or Asian,Higher,4613
2001,24,White,No schooling/less than primary,836
2001,24,White,Primary,9349
2001,24,White,Secondary,27536
2001,24,White,Higher,18541
2001,25,Black African,No schooling/less than primary,132043
2001,25,Black African,Primary,278573
2001,25,Black African,Secondary,211873
2001,25,Black African,Higher,46680
2001,25,Coloured,No schooling/less than primary,8650
2001,25,Coloured,Primary,30180
2001,25,Coloured,Secondary,22696
2001,25,Coloured,Higher,4141
2001,25,Indian or Asian,No schooling/less than primary,540
2001,25,Indian or Asian,Primary,4148
2001,25,Indian or Asian,Secondary,11093
2001,25,Indian or Asian,Higher,4773
2001,25,White,No schooling/less than primary,848
2001,25,White,Primary,9739
2001,25,White,Secondary,28525
2001,25,White,Higher,21070
2001,26,Black African,No schooling/less than primary,140135
2001,26,Black African,Primary,274939
2001,26,Black African,Secondary,203855
2001,26,Black African,Higher,47326
2001,26,Coloured,No schooling/less than primary,9492
2001,26,Coloured,Primary,30837
2001,26,Coloured,Secondary,21609
2001,26,Coloured,Higher,4151
2001,26,Indian or Asian,No schooling/less than primary,556
2001,26,Indian or Asian,Primary,4619
2001,26,Indian or Asian,Secondary,10731
2001,26,Indian or Asian,Higher,4694
2001,26,White,No schooling/less than primary,815
2001,26,White,Primary,9646
2001,26,White,Secondary,28336
2001,26,White,Higher,20950
2001,27,Black African,No schooling/less than primary,137955
2001,27,Black African,Primary,256171
2001,27,Black African,Secondary,188755
2001,27,Black African,Higher,47571
2001,27,Coloured,No schooling/less than primary,9942
2001,27,Coloured,Primary,32195
2001,27,Coloured,Secondary,20155
2001,27,Coloured,Higher,4268
2001,27,Indian or Asian,No schooling/less than primary,573
2001,27,Indian or Asian,Primary,4767
2001,27,Indian or Asian,Secondary,10639
2001,27,Indian or Asian,Higher,4655
2001,27,White,No schooling/less than primary,831
2001,27,White,Primary,9955
2001,27,White,Secondary,28470
2001,27,White,Higher,22077
2001,28,Black African,No schooling/less than primary,140071
2001,28,Black African,Primary,243355
2001,28,Black African,Secondary,170841
2001,28,Black African,Higher,46252
2001,28,Coloured,No schooling/less than primary,10965
2001,28,Coloured,Primary,33076
2001,28,Coloured,Secondary,19191
2001,28,Coloured,Higher,4473
2001,28,Indian or Asian,No schooling/less than primary,585
2001,28,Indian or Asian,Primary,4777
2001,28,Indian or Asian,Secondary,10038
2001,28,Indian or Asian,Higher,4480
2001,28,White,No schooling/less than primary,896
2001,28,White,Primary,10136
2001,28,White,Secondary,28944
2001,28,White,Higher,22989
2001,29,Black African,No schooling/less than primary,154227
2001,29,Black African,Primary,248542
2001,29,Black African,Secondary,167065
2001,29,Black African,Higher,47942
2001,29,Coloured,No schooling/less than primary,12186
2001,29,Coloured,Primary,35699
2001,29,Coloured,Secondary,18763
2001,29,Coloured,Higher,4526
2001,29,Indian or Asian,No schooling/less than primary,595
2001,29,Indian or Asian,Primary,4963
2001,29,Indian or Asian,Secondary,10071
2001,29,Indian or Asian,Higher,4606
2001,29,White,No schooling/less than primary,1043
2001,29,White,Primary,11150
2001,29,White,Secondary,30639
2001,29,White,Higher,24612
2001,30,Black African,No schooling/less than primary,135067
2001,30,Black African,Primary,199819
2001,30,Black African,Secondary,130691
2001,30,Black African,Higher,42073
2001,30,Coloured,No schooling/less than primary,12416
2001,30,Coloured,Primary,34680
2001,30,Coloured,Secondary,17483
2001,30,Coloured,Higher,4500
2001,30,Indian or Asian,No schooling/less than primary,658
2001,30,Indian or Asian,Primary,5399
2001,30,Indian or Asian,Secondary,10299
2001,30,Indian or Asian,Higher,4494
2001,30,White,No schooling/less than primary,1079
2001,30,White,Primary,11585
2001,30,White,Secondary,32608
2001,30,White,Higher,26405
2001,31,Black African,No schooling/less than primary,166621
2001,31,Black African,Primary,236211
2001,31,Black African,Secondary,135221
2001,31,Black African,Higher,43664
2001,31,Coloured,No schooling/less than primary,12825
2001,31,Coloured,Primary,34820
2001,31,Coloured,Secondary,15698
2001,31,Coloured,Higher,4333
2001,31,Indian or Asian,No schooling/less than primary,631
2001,31,Indian or Asian,Primary,5114
2001,31,Indian or Asian,Secondary,9378
2001,31,Indian or Asian,Higher,4115
2001,31,White,No schooling/less than primary,1106
2001,31,White,Primary,11611
2001,31,White,Secondary,31176
2001,31,White,Higher,26736
2001,32,Black African,No schooling/less than primary,158792
2001,32,Black African,Primary,213947
2001,32,Black African,Secondary,113182
2001,32,Black African,Higher,39895
2001,32,Coloured,No schooling/less than primary,13296
2001,32,Coloured,Primary,34616
2001,32,Coloured,Secondary,14711
2001,32,Coloured,Higher,4310
2001,32,Indian or Asian,No schooling/less than primary,722
2001,32,Indian or Asian,Primary,5575
2001,32,Indian or Asian,Secondary,8818
2001,32,Indian or Asian,Higher,3897
2001,32,White,No schooling/less than primary,1051
2001,32,White,Primary,11966
2001,32,White,Secondary,30061
2001,32,White,Higher,25637
2001,33,Black African,No schooling/less than primary,162754
2001,33,Black African,Primary,213999
2001,33,Black African,Secondary,103967
2001,33,Black African,Higher,39173
2001,33,Coloured,No schooling/less than primary,13413
2001,33,Coloured,Primary,33486
2001,33,Coloured,Secondary,13537
2001,33,Coloured,Higher,4112
2001,33,Indian or Asian,No schooling/less than primary,682
2001,33,Indian or Asian,Primary,5556
2001,33,Indian or Asian,Secondary,8258
2001,33,Indian or Asian,Higher,3520
2001,33,White,No schooling/less than primary,1130
2001,33,White,Primary,12052
2001,33,White,Secondary,28698
2001,33,White,Higher,25373
2001,34,Black African,No schooling/less than primary,138391
2001,34,Black African,Primary,178806
2001,34,Black African,Secondary,84027
2001,34,Black African,Higher,34620
2001,34,Coloured,No schooling/less than primary,12829
2001,34,Coloured,Primary,32416
2001,34,Coloured,Secondary,12476
2001,34,Coloured,Higher,4104
2001,34,Indian or Asian,No schooling/less than primary,728
2001,34,Indian or Asian,Primary,5970
2001,34,Indian or Asian,Secondary,7875
2001,34,Indian or Asian,Higher,3593
2001,34,White,No schooling/less than primary,1048
2001,34,White,Primary,12649
2001,34,White,Secondary,27429
2001,34,White,Higher,25241
2001,35,Black African,No schooling/less than primary,166196
2001,35,Black African,Primary,187544
2001,35,Black African,Secondary,78074
2001,35,Black African,Higher,33917
2001,35,Coloured,No schooling/less than primary,15164
2001,35,Coloured,Primary,34366
2001,35,Coloured,Secondary,11566
2001,35,Coloured,Higher,4074
2001,35,Indian or Asian,No schooling/less than primary,928
2001,35,Indian or Asian,Primary,6666
2001,35,Indian or Asian,Secondary,7706
2001,35,Indian or Asian,Higher,3560
2001,35,White,No schooling/less than primary,1288
2001,35,White,Primary,13129
2001,35,White,Secondary,26720
2001,35,White,Higher,24566
2001,36,Black African,No schooling/less than primary,182317
2001,36,Black African,Primary,195897
2001,36,Black African,Secondary,72566
2001,36,Black African,Higher,32322
2001,36,Coloured,No schooling/less than primary,15620
2001,36,Coloured,Primary,34446
2001,36,Coloured,Secondary,10404
2001,36,Coloured,Higher,3759
2001,36,Indian or Asian,No schooling/less than primary,990
2001,36,Indian or Asian,Primary,6917
2001,36,Indian or Asian,Secondary,6977
2001,36,Indian or Asian,Higher,3429
2001,36,White,No schooling/less than primary,1289
2001,36,White,Primary,14171
2001,36,White,Secondary,26437
2001,36,White,Higher,23845
2001,37,Black African,No schooling/less than primary,181103
2001,37,Black African,Primary,186872
2001,37,Black African,Secondary,64134
2001,37,Black African,Higher,29709
2001,37,Coloured,No schooling/less than primary,15620
2001,37,Coloured,Primary,33870
2001,37,Coloured,Secondary,9636
2001,37,Coloured,Higher,3401
2001,37,Indian or Asian,No schooling/less than primary,1047
2001,37,Indian or Asian,Primary,7167
2001,37,Indian or Asian,Secondary,6594
2001,37,Indian or Asian,Higher,3350
2001,37,White,No schooling/less than primary,1316
2001,37,White,Primary,14517
2001,37,White,Secondary,26743
2001,37,White,Higher,23888
2001,38,Black African,No schooling/less than primary,196796
2001,38,Black African,Primary,188049
2001,38,Black African,Secondary,59246
2001,38,Black African,Higher,28270
2001,38,Coloured,No schooling/less than primary,16542
2001,38,Coloured,Primary,34061
2001,38,Coloured,Secondary,8955
2001,38,Coloured,Higher,3322
2001,38,Indian or Asian,No schooling/less than primary,1187
2001,38,Indian or Asian,Primary,7391
2001,38,Indian or Asian,Secondary,6479
2001,38,Indian or Asian,Higher,2998
2001,38,White,No schooling/less than primary,1319
2001,38,White,Primary,14762
2001,38,White,Secondary,27910
2001,38,White,Higher,24563
2001,39,Black African,No schooling/less than primary,194238
2001,39,Black African,Primary,175143
2001,39,Black African,Secondary,52703
2001,39,Black African,Higher,26221
2001,39,Coloured,No schooling/less than primary,16089
2001,39,Coloured,Primary,32068
2001,39,Coloured,Secondary,8318
2001,39,Coloured,Higher,3206
2001,39,Indian or Asian,No schooling/less than primary,1239
2001,39,Indian or Asian,Primary,7081
2001,39,Indian or Asian,Secondary,6091
2001,39,Indian or Asian,Higher,2930
2001,39,White,No schooling/less than primary,1251
2001,39,White,Primary,14626
